record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1335,1620925658,138.29999999999998,30.5,2849368.699999997,1026986.4000000004,1102801.6,516.9999999999999,507.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1980.4999999999998,0.0,409.09999999999997,0.0
1336,1620925659,136.9,30.2,2849368.699999997,1026950.2000000002,1102801.8,543.7000000000002,573.3,0.0,0.0,0.0,0.0,0.0,0.0,1892.7,0.0,235.5,0.0
1337,1620925660,138.79999999999995,32.39999999999999,2849368.699999997,1026946.3,1102800.2,515.7,759.4,0.0,0.0,0.0,0.0,0.0,0.0,2247.900000000001,0.0,67.8,0.0
1338,1620925661,139.5,29.599999999999998,2849368.699999997,1026938.5000000001,1102800.2999999998,1084.4000000000008,653.0999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2566.8,0.0,183.6,0.0
1339,1620925663,144.09999999999997,32.1,2849368.699999997,1026918.9000000001,1102800.9,499.8,605.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2235.7000000000003,0.0,337.59999999999997,11.1
1340,1620925664,140.99999999999994,29.9,2849368.699999997,1026982.7000000003,1102801.5000000002,556.3000000000001,489.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,4145.0,0.0,354.90000000000003,0.0
1341,1620925665,132.70000000000002,28.5,2849368.699999997,1026917.2,1102801.6,435.89999999999986,535.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1709.1000000000001,0.0,143.7,0.0
1342,1620925666,133.49999999999997,26.799999999999997,2849368.699999997,1026920.9,1102802.3,633.4000000000001,920.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1058.1999999999998,0.0,151.4,0.0
1343,1620925667,137.79999999999998,30.200000000000003,2849368.699999997,1026940.8999999999,1102803.1000000003,1047.1,808.0999999999998,0.0,0.0,8.0,0.0,0.0,0.0,2471.4000000000015,0.0,87.9,0.0
1344,1620925668,129.2,26.0,2849368.699999997,1026897.8999999999,1102803.3000000003,689.5,568.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1079.8999999999999,0.0,358.5,11.1
1345,1620925669,139.89999999999998,32.8,2849368.699999997,1026917.7000000002,1102803.6000000003,504.7,486.5,0.0,0.0,0.0,0.0,0.0,0.0,1952.1000000000001,0.0,328.6,0.0
1346,1620925670,132.10000000000002,29.8,2849368.699999997,1026930.6000000001,1102804.0000000005,1635.6000000000004,571.8,0.0,0.0,0.0,0.0,0.0,0.0,2084.1,0.0,59.9,0.0
1347,1620925671,139.70000000000002,30.69999999999999,2849368.699999997,1026918.6999999998,1102803.4000000006,451.59999999999997,520.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1409.4000000000003,0.0,103.6,0.0
1348,1620925672,138.10000000000002,31.099999999999998,2849368.699999997,1026911.2999999999,1102803.7000000004,854.4,631.0,0.0,0.0,0.0,0.0,0.0,0.0,1581.1000000000004,0.0,139.7,0.0
1349,1620925673,141.29999999999993,33.7,2849368.699999997,1026958.0,1102804.8000000005,563.5999999999999,854.0999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2053.6000000000004,0.0,374.70000000000005,11.0
1350,1620925674,136.89999999999995,31.599999999999994,2849368.699999997,1026923.4,1102805.7000000002,602.6999999999999,748.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,876.2999999999998,0.0,325.69999999999993,0.0
1351,1620925675,137.29999999999995,30.200000000000003,2849368.699999997,1026910.2999999998,1102806.9000000004,2370.3,2595.100000000001,0.0,0.0,0.0,0.0,0.0,0.0,2547.500000000001,0.0,91.8,0.0
1352,1620925676,144.9,29.600000000000005,2849368.699999997,1026956.3999999998,1102808.1,2237.2999999999997,2626.700000000001,0.0,0.0,0.0,0.0,0.0,0.0,503.19999999999993,0.0,67.8,0.0
1353,1620925677,143.9,30.299999999999997,2849368.699999997,1026908.1,1102808.7000000002,2944.4000000000005,3118.1000000000004,0.0,0.0,4.0,0.0,0.0,0.0,1676.8000000000004,0.0,8.0,0.0
1354,1620925678,137.0,28.19999999999999,2849368.699999997,1027009.7000000001,1102809.3,3020.1,3321.5000000000014,0.0,0.0,0.0,0.0,0.0,0.0,2731.8,0.0,313.59999999999997,10.9
1355,1620925679,159.00000000000003,33.5,2849368.699999997,1026976.6999999998,1102810.0,574.0999999999999,5790.4000000000015,0.0,0.0,0.0,0.0,0.0,0.0,1679.1,0.0,273.80000000000007,0.0
1356,1620925680,136.89999999999998,32.69999999999999,2849368.699999997,1026994.3,1102810.4,6162.0999999999985,1586.9000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2431.3000000000006,0.0,0.0,39.9
1357,1620925681,139.4,32.199999999999996,2849368.699999997,1027010.1000000001,1102811.1999999997,583.0,973.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2060.1000000000004,0.0,99.69999999999999,0.0
1358,1620925682,141.79999999999998,30.1,2849368.699999997,1026968.8000000002,1102811.4999999998,427.0999999999999,465.9,0.0,0.0,0.0,0.0,0.0,0.0,1600.8000000000004,0.0,20.0,0.0
1359,1620925683,140.39999999999995,35.399999999999984,2849368.699999997,1026952.3000000002,1102811.6999999997,825.2,1039.8,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,0.0,271.90000000000003,18.2
1360,1620925684,137.79999999999998,32.9,2849368.699999997,1026960.2000000001,1102813.0999999999,782.4999999999998,1111.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,764.5,0.0,318.29999999999995,0.0
