record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1254,1621195522,45.099999999999994,30.3,2849368.699999997,917125.8999999999,997003.9000000001,531.2000000000002,775.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1334.6000000000004,0.0,536.4999999999999,11.2
1255,1621195523,47.3,33.30000000000001,2849368.699999997,917136.4999999999,997004.8,526.2000000000002,626.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,809.4,0.0,273.6,0.0
1256,1621195524,47.00000000000001,33.199999999999996,2849368.699999997,917118.3999999999,997005.8000000002,648.5,684.2,0.0,0.0,0.0,0.0,0.0,0.0,1948.5000000000007,0.0,0.0,0.0
1257,1621195525,44.0,29.300000000000004,2849368.699999997,917117.9,997006.5000000001,809.4,566.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1464.3000000000002,0.0,0.0,0.0
1258,1621195526,43.3,27.7,2849368.699999997,917146.0999999997,997007.0000000001,543.4000000000002,576.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3090.500000000001,0.0,71.9,0.0
1259,1621195527,40.79999999999999,28.499999999999996,2849368.699999997,917117.3999999998,997007.6000000001,886.6999999999998,631.5999999999998,0.0,0.0,1.9,0.0,1.9,0.0,2615.7000000000007,0.0,455.6999999999998,10.9
1260,1621195528,71.9,29.999999999999993,2849368.699999997,917195.6999999998,997013.4,710.3000000000001,3898.0,0.0,0.0,0.0,0.0,0.0,0.0,4516.0,0.0,329.19999999999993,0.0
1261,1621195529,116.8,31.4,2849368.699999997,917357.5999999999,997005.2000000002,838.6000000000001,773.9000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1497.2000000000003,0.0,123.69999999999999,0.0
1262,1621195530,133.20000000000002,30.400000000000002,2849368.699999997,917522.4999999999,997004.0000000001,812.5,584.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1708.9000000000008,0.0,0.0,0.0
1263,1621195531,121.60000000000004,32.9,2849368.699999997,917642.7000000001,996996.9000000001,7759.100000000001,8584.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1345.4000000000003,0.0,40.0,0.0
1264,1621195532,79.00000000000003,28.599999999999998,2849368.699999997,917638.9,996997.2000000001,855.8000000000005,729.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1425.0000000000005,0.0,479.79999999999984,11.0
1265,1621195533,81.60000000000002,35.400000000000006,2849368.699999997,917648.8999999999,996997.8,1275.1999999999998,1233.2,0.0,0.0,0.0,0.0,0.0,0.0,1201.5,0.0,300.7,0.0
1266,1621195534,81.79999999999998,36.5,2849368.699999997,917687.1000000002,996999.1000000001,7804.200000000002,1826.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1872.6000000000004,0.0,59.9,0.0
1267,1621195535,75.89999999999999,29.500000000000004,2849368.699999997,917597.8000000004,996999.9,475.2,518.9000000000002,0.0,0.0,0.0,0.0,0.0,0.0,714.6999999999998,0.0,127.69999999999999,47.9
1268,1621195536,74.9,29.7,2849368.699999997,917620.4,997001.1000000001,8574.699999999997,1618.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1325.7,0.0,43.9,0.0
