gis_join,total_iterations,is_center
G2600470,1,false
G1201310,1,false
G1600190,1,false
G1303130,1,false
G2200810,1,false
G3200010,1,false
G4001150,1,false
G0500310,1,false
G1201270,1,false
G4700330,1,false
G3601110,1,false
G2601290,1,false
G0500950,1,false
G5300590,1,false
G3000810,1,false
G1701990,1,false
G1200210,1,false
G3400310,1,false
G5600430,1,false
G0100110,1,false
G3000870,1,false
G2700870,1,false
G0800250,1,false
G2100390,1,false
G4600350,1,false
G0100330,1,false
G1301310,1,false
G3000610,1,false
G4200890,1,false
G3700850,1,false
G5400750,1,false
G2601630,1,false
G3300010,1,false
G5101770,1,false
G4804890,1,false
G3800550,1,false
G1701650,1,false
G2800590,1,false
G0101030,1,false
G1301250,1,false
G4900250,1,false
G4900530,1,false
G5101330,1,false
G5400230,1,false
G1901410,1,false
G3000170,1,false
G4100610,1,false
G4200810,1,false
G4400070,1,false
G2601250,1,false
G4700450,1,false
G2701250,1,false
G1300370,1,false
G0501230,1,false
G4000770,1,false
G5400650,1,false
G5300730,1,false
G4803550,1,false
G0100910,1,false
G1701330,1,false
G4900490,1,false
G5500690,1,false
G3001030,1,false
G0400010,1,false
G1901190,1,false
G0500650,1,false
G4100130,1,false
G3701390,1,false
G3800630,1,false
G1302830,1,false
G4200010,1,false
G0500830,1,false
G5300650,1,false
G1200490,1,false
G4700830,1,false
G2101110,1,false
G5107100,1,false
G4200130,1,false
G1301970,1,false
G4900350,1,false
G3001010,1,false
G4600510,1,false
G3500570,1,false
G4900030,1,false
G3300150,1,false
G0100670,1,false
G5400890,1,false
G2701350,1,false
G0500230,1,false
G1200530,1,false
G4700390,1,false
G0500850,1,false
G2100590,1,false
G3601130,1,false
G4500790,1,false
G4201190,1,false
G3701890,1,false
G0800810,1,false
G1300190,1,false
G4601250,1,false
G4601030,1,false
G0800010,1,false
G4800250,1,false
G3000350,1,false
G4000050,1,false
G2701110,1,false
G5100130,1,false
G2801410,1,false
G1800510,1,false
G2500270,1,false
G4700190,1,false
