record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
6704,1621444524,59.70000000000001,35.29999999999999,2849368.699999997,1074787.4000000001,1024790.3000000002,2168.1000000000004,20099.80000000001,0.0,0.0,0.0,0.0,0.0,0.0,1616.1000000000001,0.0,379.0,18.5
6705,1621444525,52.5,32.4,2849368.699999997,1074800.4000000001,1024790.7000000001,2045.0999999999995,2023.1,0.0,0.0,0.0,0.0,0.0,0.0,1690.1000000000004,0.0,422.2999999999999,0.0
6706,1621444526,68.99999999999999,35.199999999999996,2849368.699999997,1074788.3000000003,1024791.1,36263.0,15258.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,1369.7000000000003,0.0,163.6,0.0
6707,1621444527,63.9,32.1,2849368.699999997,1074779.5000000002,1024791.5,29709.600000000006,1756.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2255.3000000000006,0.0,0.0,0.0
6708,1621444528,67.2,29.400000000000002,2849368.699999997,1074796.8000000003,1024792.2,17740.49999999999,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.1000000000004,0.0,36.0,0.0
6709,1621444529,146.8,27.599999999999994,2849368.699999997,1074821.5000000005,1024792.7,13099.699999999999,18406.100000000002,0.0,0.0,0.0,0.0,0.0,0.0,1395.4,0.0,370.99999999999994,11.0
6710,1621444530,101.10000000000001,30.4,2849368.699999997,1074787.5000000005,1024793.4,48645.29999999998,19495.2,0.0,0.0,2.0,0.0,0.0,0.0,1956.5000000000002,0.0,424.49999999999983,0.0
6711,1621444531,74.6,28.899999999999995,2849368.699999997,1074899.0000000002,1024794.0,4631.5,3376.899999999999,0.0,0.0,0.0,0.0,0.0,0.0,690.8,0.0,24.0,0.0
6712,1621444532,81.99999999999997,35.49999999999999,2849368.699999997,1074964.7000000004,1024794.0,3934.6999999999994,14100.699999999999,0.0,0.0,0.0,0.0,0.0,0.0,1781.2000000000003,0.0,43.9,0.0
6713,1621444533,78.20000000000002,32.3,2849368.699999997,1074997.2000000002,1024794.0,5057.400000000002,18663.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1860.8000000000002,0.0,63.9,0.0
6714,1621444534,61.90000000000002,33.9,2849368.699999997,1074990.5000000002,1024794.2,1963.7,4361.799999999999,0.0,0.0,0.0,0.0,0.0,0.0,2859.9000000000005,0.0,336.7,11.2
6715,1621444535,54.49999999999998,34.800000000000004,2849368.699999997,1075043.0000000002,1024794.5,3885.9,6167.700000000002,0.0,0.0,0.0,0.0,0.0,0.0,1724.0,0.0,321.7,0.0
6716,1621444536,67.4,41.7,2849368.699999997,1075060.9000000001,1024794.7000000001,4029.9999999999995,3794.1,0.0,0.0,0.0,0.0,0.0,0.0,1704.7,0.0,43.9,0.0
6717,1621444537,49.4,37.80000000000001,2849368.699999997,1075003.1,1024797.3000000003,3750.899999999999,2161.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1836.5,0.0,87.8,0.0
6718,1621444538,41.40000000000001,32.0,2849368.699999997,1075047.5,1024798.8,3196.9999999999995,2223.600000000001,0.0,0.0,0.0,0.0,0.0,0.0,1006.1999999999998,0.0,55.9,0.0
6719,1621444539,43.599999999999994,31.399999999999995,2849368.699999997,1074997.5000000002,1024801.4,2745.9,3728.899999999999,0.0,0.0,0.0,0.0,0.0,0.0,2527.9,0.0,279.0,11.1
